iter	Logloss
0	0.6574096183
1	0.6251448976
2	0.59669572
3	0.5710115575
4	0.5489287308
5	0.529315199
6	0.5114191815
7	0.4956946061
8	0.4818607443
9	0.4697197365
10	0.458908268
11	0.4496416691
12	0.4407121926
13	0.4331736395
14	0.4262529794
15	0.4196295821
16	0.4143883045
17	0.4093275724
18	0.4047090763
19	0.400887551
20	0.3972683755
21	0.3936653266
22	0.3907633175
23	0.3882483942
24	0.3859637026
25	0.3837867685
26	0.3816637507
27	0.3797502484
28	0.3780826359
29	0.3766336316
30	0.3751789429
31	0.3737108787
32	0.3724963307
33	0.3712716787
34	0.3702702169
35	0.3693795388
36	0.3683700096
37	0.3674334949
38	0.3665311652
39	0.3657867035
40	0.3649552234
41	0.3644411426
42	0.3637906549
43	0.3632369448
44	0.3625869367
45	0.36203428
46	0.3614382703
47	0.3609128202
48	0.3604499807
49	0.3599655564
50	0.359626413
51	0.3593356193
52	0.3590167305
53	0.3586054643
54	0.3582177894
55	0.3579598352
56	0.3575848687
57	0.3573181516
58	0.3569915711
59	0.3567572803
60	0.3565475354
61	0.3562588131
62	0.3560321252
63	0.3558457647
64	0.3556378231
65	0.3554284255
66	0.3551938943
67	0.3549955802
68	0.3547584035
69	0.3545772418
70	0.3543618306
71	0.3542070704
72	0.3540525687
73	0.3538678613
74	0.3537794613
75	0.3535530269
76	0.3533939639
77	0.3532356862
78	0.3530781952
79	0.352933044
80	0.3527892966
81	0.3526544977
82	0.3525186627
83	0.3524004225
84	0.3522398022
85	0.3520382383
86	0.3519121684
87	0.3517647515
88	0.3516318946
89	0.3515171568
90	0.3513979109
91	0.3512974984
92	0.3511619758
93	0.351027353
94	0.350928865
95	0.3507819444
96	0.3506775105
97	0.3505819804
98	0.3504963078
99	0.350338209
100	0.3502358467
101	0.3501355242
102	0.35003271
103	0.3499331976
104	0.3498266638
105	0.3497511568
106	0.3496280447
107	0.3495451128
108	0.3494352545
109	0.3493636009
110	0.3492785085
111	0.3491768325
112	0.3490833774
113	0.3489778213
114	0.3488758384
115	0.3488199264
116	0.3487245733
117	0.348646588
118	0.3485518473
119	0.3484727352
120	0.3483695872
121	0.3483248228
122	0.3482348097
123	0.3481527738
124	0.3480640415
125	0.3480110977
126	0.3479247311
127	0.3478454594
128	0.3477592555
129	0.3476960107
130	0.3475671623
131	0.347496464
132	0.3474515906
133	0.3473519965
134	0.347245192
135	0.3471724218
136	0.3471019295
137	0.347065412
138	0.3469969454
139	0.3468852686
140	0.346795837
141	0.3467382443
142	0.3466735589
143	0.3465937426
144	0.3465468933
145	0.3464787392
146	0.3463989868
147	0.3463582219
148	0.3462640354
149	0.3461803788
150	0.346107138
151	0.346048505
152	0.3459848824
153	0.3459101685
154	0.3458556099
155	0.3457964108
156	0.3457393189
157	0.3456789354
158	0.3456184178
159	0.3455149221
160	0.3454685026
161	0.3454166169
162	0.3453524125
163	0.3453079279
164	0.3452598398
165	0.3451955223
166	0.3451143501
167	0.3450572763
168	0.345016079
169	0.3449420482
170	0.3449098239
171	0.3448507037
172	0.3447892856
173	0.3447519644
174	0.3446763428
175	0.3445822469
176	0.3445124608
177	0.3444216327
178	0.3443739559
179	0.3443301062
180	0.3443001224
181	0.3442418331
182	0.3441897075
183	0.3441516914
184	0.3440789275
185	0.344021075
186	0.3439674583
187	0.3439110044
188	0.3438583953
189	0.3437986681
190	0.343740346
191	0.3436890269
192	0.3436419515
193	0.3435520396
194	0.3434821578
195	0.3434292868
196	0.3433782177
197	0.343314551
198	0.3432555402
199	0.3431952231
200	0.3431354905
201	0.3430933518
202	0.3430384641
203	0.3429913657
204	0.3429423209
205	0.3429011174
206	0.3428598787
207	0.342812529
208	0.3427592489
209	0.3427285433
210	0.342690739
211	0.3426524996
212	0.342593621
213	0.3425281964
214	0.3424436332
215	0.3423841765
216	0.3423227167
217	0.3422576975
218	0.3422256016
219	0.3421970454
220	0.3421534382
221	0.3421122936
222	0.3420592664
223	0.342025517
224	0.34197196
225	0.3419067832
226	0.3418563885
227	0.3418211245
228	0.341770476
229	0.341725627
230	0.341640864
231	0.3415952688
232	0.3415198524
233	0.3414390839
234	0.3413904723
235	0.3413508026
236	0.3413028276
237	0.3412323539
238	0.3411973792
239	0.3411441627
240	0.3410826553
241	0.341033847
242	0.3409926781
243	0.3409341021
244	0.340879507
245	0.3408361804
246	0.3407972339
247	0.3407211626
248	0.3406709699
249	0.3406134459
250	0.3405496474
251	0.3404962447
252	0.3404467644
253	0.3403866858
254	0.3403170014
255	0.3402727919
256	0.3402162135
257	0.3401806735
258	0.3401544341
259	0.3401022205
260	0.3400466234
261	0.3400051617
262	0.3399607785
263	0.3399234889
264	0.3398744139
265	0.3398119551
266	0.3397614261
267	0.3396998797
268	0.3396550467
269	0.3396115915
270	0.3395573257
271	0.3395064537
272	0.3394683874
273	0.3394157263
274	0.3393808388
275	0.3393294113
276	0.3392912097
277	0.3392249773
278	0.3391777698
279	0.3391242593
280	0.3390565935
281	0.3389975303
282	0.3389479316
283	0.3389041182
284	0.3388227459
285	0.3387691124
286	0.3387183329
287	0.3386759028
288	0.3386133318
289	0.3385515535
290	0.3385078425
291	0.3384635633
292	0.33840091
293	0.3383634361
294	0.3383623609
295	0.3383106106
296	0.338246114
297	0.3381876198
298	0.3381464778
299	0.3380973977
